Country,Confidence_Womens_organizations,Confidence_Universities,Confidence_The_press,Confidence_The_police,Confidence_The_armed_forces,Confidence_Political_Parties,Confidence_Major_Companies,Confidence_Environmental_organizations
Argentina,37.3,69.8,36,25,28.8,15,34.5,47.1
Australia,65,79.9,16.3,82.9,86.4,13.1,48.7,57.3
Brazil,61.1,73.1,45.9,45,58.6,15.9,58.5,61.4
Chile,66.2,60.5,53.1,63.9,55.2,16.9,32.6,64.7
China,54.5,77,60.2,66.6,84,74.5,53.5,56.7
Colombia,71,72.4,36.4,45.4,56.2,17.2,61,71.2
Germany,61.1,77.9,44.4,81.7,63.6,23.9,25.1,66.1
Ghana,72.3,85.8,61.1,56.8,78.9,41.9,75.8,70.2
India,64.5,69.2,65.9,49.1,82,34.3,43.4,58.2
Iraq,37.2,60.7,26.5,57.4,60.7,10.9,31.3,36.6
Japan,25.1,52.6,70.6,68.2,67.1,14.8,43.4,33.7
South Korea,57.9,64.9,61,58.3,63.5,26.1,55.9,62.4
Malaysia,77.4,83.6,68.6,73.7,80,61.9,74.3,78
Mexico,66.1,74.8,29.8,28.4,58.9,22,54.1,65
Morocco,50.5,59.2,43.2,61.5,73.1,25.2,47.4,49.7
Netherlands,38.5,71.4,34.1,65.5,49.5,18.2,37.3,44.7
New Zealand,37.4,70.5,25.4,78.5,76.1,15.2,38.5,52.2
Pakistan,43,60,41.2,20.6,83.4,29.9,48.9,38.3
Peru,52.3,62.1,31.1,27.9,33.1,10.5,38.1,48.4
Poland,46.5,63.7,27.7,50.5,62.4,7.2,36.8,51.3
Qatar,53.2,77.7,71.3,95.9,94.8,0,67.9,69.6
Singapore,67.2,82.1,58.9,79.4,77.2,69.4,71.9,69.8
Slovenia,40.3,57.5,23.2,42.1,33.8,3.4,29.6,45.3
South Africa,50.8,55.7,53.5,45.3,47.7,36.4,48.6,48.4
Spain,45.8,74.3,31.1,58.7,51,15,33.5,55.6
Sweden,61.1,81.9,36.6,79.1,52,42.2,51.2,69.2
Thailand,64.3,82.7,43,46,68.2,35.3,56.6,60.6
Turkey,54.5,66.6,39.7,74.4,73.9,34.9,46.6,49.4
Egypt,27.3,55.2,40.9,50.3,0,19.9,45.6,25.2
United States,51.1,62.6,22.7,68.3,81.6,12.5,32.6,47.7
