Country,WomensOrg,Government,Press,Police,ArmedForces,PoliticalParties,MajorCompanies,EnvironmentalOrg
Argentina,27.5,18.8,37.3,23.8,25.5,7,24.2,57.7
Australia,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0
Chile,42.4,56.9,47.4,54.7,46.9,26.9,48.8,61.4
China,78.2,95.2,64.3,71.3,96,86.1,42.3,72.9
Colombia,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0
India,34.7,48.5,59.7,34,83.3,28.1,32.2,33.3
Iraq,0,36.4,0,0,52.5,0,0,0
Japan,36.6,25.4,70.2,48.1,61.5,16.5,25.3,50
South Korea,66.1,28.9,64.9,49,62.4,10.1,28.4,70.6
Malaysia,0,0,0,0,0,0,0,0
Mexico,31.6,35.9,39.1,29.1,51.2,23.7,40.6,47.8
Morocco,27.1,54.9,30.2,51.5,69.5,13.2,25.7,44.1
Netherlands,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0
Pakistan,19.8,33.3,45.4,27.9,84.6,23.8,24.3,23.5
Peru,32.8,19.2,22.9,16.2,22,7.9,24.7,42.9
Poland,0,0,0,0,0,0,0,0
Qatar,0,0,0,0,0,0,0,0
Singapore,0,0,0,0,0,0,0,0
Slovenia,0,0,0,0,0,0,0,0
South Africa,55.9,59.3,61.4,54.9,52,42.4,69.5,52.9
Spain,44.3,42.9,40,61.3,40.2,26.2,41.3,56.7
Thailand,0,0,0,0,0,0,0,0
Sweden,0,0,45.4,75.3,43.3,0,0,0
Turkey,60.3,45.5,34.8,70.1,85.2,28.2,48.1,63.7
Egypt,65.8,53.3,64.1,87.5,57.1,41,24.2,69.1
United States,56.6,37.3,26.6,70.6,81,22,52.7,57.9
